model,rate,seed,channel,mse,mae,nmse,skill,mode
LSTM,0.0,0,water_level,0.010610612200503527,0.08035027832411137,0.041416197898300644,0.0188740537956767,block
LSTM,0.0,0,air_temp,1.3378213194582897,0.824938536341314,0.15555771169935076,0.35914287443996545,block
LSTM,0.0,0,water_temp,0.6734493733985631,0.6052222052571091,0.09337672120716481,0.6825620441403012,block
LSTM,0.0,0,air_pressure,2.928830241936642,1.245470091465816,0.23341084292862388,0.8373349169218134,block
LSTM,0.0,0,wind_u,1.981176626227586,1.0736381568718905,0.5341903035926184,0.6772165595014368,block
LSTM,0.0,0,wind_v,2.0097542884535655,1.0261030813947838,0.4867129125172228,0.3592171714987363,block
Latent ODE,0.0,0,water_level,0.21397639705927046,0.37046443416864544,0.8352099425282502,0.38061913420133253,block
Latent ODE,0.0,0,air_temp,2.5849066231336395,1.1351649190818178,0.30056492104191024,0.6939273438750605,block
Latent ODE,0.0,0,water_temp,1.1044639399325094,0.7780892358843281,0.1531387888624692,1.1194088142293501,block
Latent ODE,0.0,0,air_pressure,2.925847954721016,1.27048040372788,0.2331731718738501,0.8364822989782477,block
Latent ODE,0.0,0,wind_u,2.1444793498733548,1.1077789129507087,0.5782220826712666,0.7330375838364459,block
Latent ODE,0.0,0,wind_v,3.0943639068856563,1.35593890669334,0.7493786072064338,0.5530768893517534,block
Persistence,0.0,0,water_level,0.5621798218533212,0.5865985743732374,2.1943456528553216,1.0,block
Persistence,0.0,0,air_temp,3.7250392940259234,1.3286239681712622,0.43313601012388697,1.0,block
Persistence,0.0,0,water_temp,0.986649315150221,0.6426157306372672,0.13680327233075845,1.0,block
Persistence,0.0,0,air_pressure,3.497800202460831,1.411351313487844,0.27875446038567475,1.0,block
Persistence,0.0,0,wind_u,2.9254698492401277,1.30060266143647,0.7888027782219125,1.0,block
Persistence,0.0,0,wind_v,5.594816862647213,1.712845133311713,1.3549266325063056,1.0,block
LSTM,0.0,1,water_level,0.010610612200503527,0.08035027832411137,0.041416197898300644,0.0188740537956767,block
LSTM,0.0,1,air_temp,1.3378213194582897,0.824938536341314,0.15555771169935076,0.35914287443996545,block
LSTM,0.0,1,water_temp,0.6734493733985631,0.6052222052571091,0.09337672120716481,0.6825620441403012,block
LSTM,0.0,1,air_pressure,2.928830241936642,1.245470091465816,0.23341084292862388,0.8373349169218134,block
LSTM,0.0,1,wind_u,1.981176626227586,1.0736381568718905,0.5341903035926184,0.6772165595014368,block
LSTM,0.0,1,wind_v,2.0097542884535655,1.0261030813947838,0.4867129125172228,0.3592171714987363,block
Latent ODE,0.0,1,water_level,0.21397639705927046,0.37046443416864544,0.8352099425282502,0.38061913420133253,block
Latent ODE,0.0,1,air_temp,2.5849066231336395,1.1351649190818178,0.30056492104191024,0.6939273438750605,block
Latent ODE,0.0,1,water_temp,1.1044639399325094,0.7780892358843281,0.1531387888624692,1.1194088142293501,block
Latent ODE,0.0,1,air_pressure,2.925847954721016,1.27048040372788,0.2331731718738501,0.8364822989782477,block
Latent ODE,0.0,1,wind_u,2.1444793498733548,1.1077789129507087,0.5782220826712666,0.7330375838364459,block
Latent ODE,0.0,1,wind_v,3.0943639068856563,1.35593890669334,0.7493786072064338,0.5530768893517534,block
Persistence,0.0,1,water_level,0.5621798218533212,0.5865985743732374,2.1943456528553216,1.0,block
Persistence,0.0,1,air_temp,3.7250392940259234,1.3286239681712622,0.43313601012388697,1.0,block
Persistence,0.0,1,water_temp,0.986649315150221,0.6426157306372672,0.13680327233075845,1.0,block
Persistence,0.0,1,air_pressure,3.497800202460831,1.411351313487844,0.27875446038567475,1.0,block
Persistence,0.0,1,wind_u,2.9254698492401277,1.30060266143647,0.7888027782219125,1.0,block
Persistence,0.0,1,wind_v,5.594816862647213,1.712845133311713,1.3549266325063056,1.0,block
LSTM,0.0,2,water_level,0.010610612200503527,0.08035027832411137,0.041416197898300644,0.0188740537956767,block
LSTM,0.0,2,air_temp,1.3378213194582897,0.824938536341314,0.15555771169935076,0.35914287443996545,block
LSTM,0.0,2,water_temp,0.6734493733985631,0.6052222052571091,0.09337672120716481,0.6825620441403012,block
LSTM,0.0,2,air_pressure,2.928830241936642,1.245470091465816,0.23341084292862388,0.8373349169218134,block
LSTM,0.0,2,wind_u,1.981176626227586,1.0736381568718905,0.5341903035926184,0.6772165595014368,block
