model,rate,seed,channel,mse,mae,nmse,skill,mode
LSTM,0.0,0,water_level,0.011026952771230357,0.08255309267162782,0.04304129201581967,0.019614636354037283,block
LSTM,0.0,0,air_temp,1.411182226490709,0.847098693655359,0.16408789032647328,0.3788368699234689,block
LSTM,0.0,0,water_temp,0.7146104295409633,0.6376493496910168,0.09908388289714487,0.7242800644240667,block
LSTM,0.0,0,air_pressure,2.6318500921821877,1.1926941417941674,0.2097432414081546,0.7524300817212443,block
LSTM,0.0,0,wind_u,1.9587803930785526,1.071117337861069,0.5281515433797069,0.6695609573919667,block
LSTM,0.0,0,wind_v,2.0262257052495904,1.0282020094382822,0.49070188335218345,0.36216122082160035,block
Latent ODE,0.0,0,water_level,0.012830581457288433,0.09186010875147903,0.050081361069826594,0.022822913520784586,block
Latent ODE,0.0,0,air_temp,2.2593166172642136,1.0831884341289004,0.26270632548167916,0.6065215529102256,block
Latent ODE,0.0,0,water_temp,1.0027184587582898,0.7201931903344386,0.13903132985371128,1.016286580613115,block
Latent ODE,0.0,0,air_pressure,2.7434788787848206,1.2213798063038228,0.2186394105349768,0.7843440791314159,block
Latent ODE,0.0,0,wind_u,2.0860171215253485,1.0918561831042541,0.5624587453208819,0.7130537072761759,block
Latent ODE,0.0,0,wind_v,3.115264955840103,1.3568700376039318,0.7544403256810396,0.556812677218911,block
Persistence,0.0,0,water_level,0.5621798218533212,0.5865985743732374,2.1943456528553216,1.0,block
Persistence,0.0,0,air_temp,3.7250392940259234,1.3286239681712622,0.43313601012388697,1.0,block
Persistence,0.0,0,water_temp,0.986649315150221,0.6426157306372672,0.13680327233075845,1.0,block
Persistence,0.0,0,air_pressure,3.497800202460831,1.411351313487844,0.27875446038567475,1.0,block
Persistence,0.0,0,wind_u,2.9254698492401277,1.30060266143647,0.7888027782219125,1.0,block
Persistence,0.0,0,wind_v,5.594816862647213,1.712845133311713,1.3549266325063056,1.0,block
LSTM,0.0,1,water_level,0.011026952771230357,0.08255309267162782,0.04304129201581967,0.019614636354037283,block
LSTM,0.0,1,air_temp,1.411182226490709,0.847098693655359,0.16408789032647328,0.3788368699234689,block
LSTM,0.0,1,water_temp,0.7146104295409633,0.6376493496910168,0.09908388289714487,0.7242800644240667,block
LSTM,0.0,1,air_pressure,2.6318500921821877,1.1926941417941674,0.2097432414081546,0.7524300817212443,block
LSTM,0.0,1,wind_u,1.9587803930785526,1.071117337861069,0.5281515433797069,0.6695609573919667,block
LSTM,0.0,1,wind_v,2.0262257052495904,1.0282020094382822,0.49070188335218345,0.36216122082160035,block
Latent ODE,0.0,1,water_level,0.012830581457288433,0.09186010875147903,0.050081361069826594,0.022822913520784586,block
Latent ODE,0.0,1,air_temp,2.2593166172642136,1.0831884341289004,0.26270632548167916,0.6065215529102256,block
Latent ODE,0.0,1,water_temp,1.0027184587582898,0.7201931903344386,0.13903132985371128,1.016286580613115,block
Latent ODE,0.0,1,air_pressure,2.7434788787848206,1.2213798063038228,0.2186394105349768,0.7843440791314159,block
Latent ODE,0.0,1,wind_u,2.0860171215253485,1.0918561831042541,0.5624587453208819,0.7130537072761759,block
Latent ODE,0.0,1,wind_v,3.115264955840103,1.3568700376039318,0.7544403256810396,0.556812677218911,block
Persistence,0.0,1,water_level,0.5621798218533212,0.5865985743732374,2.1943456528553216,1.0,block
Persistence,0.0,1,air_temp,3.7250392940259234,1.3286239681712622,0.43313601012388697,1.0,block
Persistence,0.0,1,water_temp,0.986649315150221,0.6426157306372672,0.13680327233075845,1.0,block
Persistence,0.0,1,air_pressure,3.497800202460831,1.411351313487844,0.27875446038567475,1.0,block
Persistence,0.0,1,wind_u,2.9254698492401277,1.30060266143647,0.7888027782219125,1.0,block
Persistence,0.0,1,wind_v,5.594816862647213,1.712845133311713,1.3549266325063056,1.0,block
LSTM,0.0,2,water_level,0.011026952771230357,0.08255309267162782,0.04304129201581967,0.019614636354037283,block
LSTM,0.0,2,air_temp,1.411182226490709,0.847098693655359,0.16408789032647328,0.3788368699234689,block
LSTM,0.0,2,water_temp,0.7146104295409633,0.6376493496910168,0.09908388289714487,0.7242800644240667,block
LSTM,0.0,2,air_pressure,2.6318500921821877,1.1926941417941674,0.2097432414081546,0.7524300817212443,block
LSTM,0.0,2,wind_u,1.9587803930785526,1.071117337861069,0.5281515433797069,0.6695609573919667,block
LSTM,0.0,2,wind_v,2.0262257052495904,1.0282020094382822,0.49070188335218345,0.36216122082160035,block
Latent ODE,0.0,2,water_level,0.012830581457288433,0.09186010875147903,0.050081361069826594,0.022822913520784586,block
Latent ODE,0.0,2,air_temp,2.2593166172642136,1.0831884341289004,0.26270632548167916,0.6065215529102256,block
Latent ODE,0.0,2,water_temp,1.0027184587582898,0.7201931903344386,0.13903132985371128,1.016286580613115,block
Latent ODE,0.0,2,air_pressure,2.7434788787848206,1.2213798063038228,0.2186394105349768,0.7843440791314159,block
Latent ODE,0.0,2,wind_u,2.0860171215253485,1.0918561831042541,0.5624587453208819,0.7130537072761759,block
